# Program:featureCounts v1.5.1; Command:"featureCounts" "-a" "cufflinks_assemble/star/merged.gtf" "-t" "exon" "-s" "2" "-p" "-B" "-C" "-T" "24" "-o" "cufflinks_counts/star/feature_counts.tsv" "align/star/inplanta-3KO-020.bam" "align/star/inplanta-3KO-021.bam" "align/star/inplanta-3KO-022.bam" "align/star/inplanta-3KO-023.bam" "align/star/inplanta-Pf2-024.bam" "align/star/inplanta-Pf2-025.bam" "align/star/inplanta-Pf2-026.bam" "align/star/inplanta-Pf2-027.bam" "align/star/inplanta-SN15-016.bam" "align/star/inplanta-SN15-017.bam" "align/star/inplanta-SN15-018.bam" "align/star/inplanta-SN15-019.bam" "align/star/invitro-3KO-004.bam" "align/star/invitro-3KO-005.bam" "align/star/invitro-3KO-006.bam" "align/star/invitro-3KO-007.bam" "align/star/invitro-Pf2-008.bam" "align/star/invitro-Pf2-009.bam" "align/star/invitro-Pf2-010.bam" "align/star/invitro-Pf2-011.bam" "align/star/invitro-SN15-000.bam" "align/star/invitro-SN15-001.bam" "align/star/invitro-SN15-002.bam" "align/star/invitro-SN15-003.bam" 
Geneid	Chr	Start	End	Strand	Length	align/star/inplanta-3KO-020.bam	align/star/inplanta-3KO-021.bam	align/star/inplanta-3KO-022.bam	align/star/inplanta-3KO-023.bam	align/star/inplanta-Pf2-024.bam	align/star/inplanta-Pf2-025.bam	align/star/inplanta-Pf2-026.bam	align/star/inplanta-Pf2-027.bam	align/star/inplanta-SN15-016.bam	align/star/inplanta-SN15-017.bam	align/star/inplanta-SN15-018.bam	align/star/inplanta-SN15-019.bam	align/star/invitro-3KO-004.bam	align/star/invitro-3KO-005.bam	align/star/invitro-3KO-006.bam	align/star/invitro-3KO-007.bam	align/star/invitro-Pf2-008.bam	align/star/invitro-Pf2-009.bam	align/star/invitro-Pf2-010.bam	align/star/invitro-Pf2-011.bam	align/star/invitro-SN15-000.bam	align/star/invitro-SN15-001.bam	align/star/invitro-SN15-002.bam	align/star/invitro-SN15-003.bam
XLOC_002629	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1481095;1481095;1481177;1481525;1481525;1481525;1481597;1481598;1481927;1481927;1481927	1481473;1481473;1481473;1481567;1481877;1481566;1481877;1481877;1482237;1482957;1482961	-;-;-;-;-;-;-;-;-;-;-	1767	358	302	362	365	206	172	205	140	1350	1494	1440	1711	107	124	87	86	172	109	165	86	47	55	78	63
XLOC_002630	scaffold_004	1485947	1488055	-	2109	14	24	16	22	15	17	19	14	52	37	46	81	238	167	173	80	84	81	65	91	71	69	78	123
XLOC_002631	scaffold_004	1490153	1491200	-	1048	5	0	11	8	8	2	1	3	6	12	6	19	1	8	3	4	6	7	7	9	7	8	9	3
XLOC_002632	scaffold_004;scaffold_004;scaffold_004;scaffold_004	1493185;1493581;1493740;1493859	1493529;1493686;1493803;1493899	-;-;-;-	556	12474	10156	17008	11961	2078	3248	4622	3877	21101	20239	20244	28959	6058	6729	5992	5285	13685	6362	12307	8680	13482	18224	11476	13820
XLOC_002633	scaffold_004;scaffold_004;scaffold_004	1494327;1494459;1495687	1494410;1495639;1497478	-;-;-	3057	867	810	1132	896	305	413	548	351	2041	1984	1781	2035	1179	1527	1067	1453	2589	1805	2409	2104	1988	2015	1783	1214
XLOC_002634	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1497848;1497848;1497848;1497848;1497848;1497948;1498243;1498243;1498243;1498243;1498243;1498244;1498583;1498583;1498583;1498583;1498601;1498605;1498666;1498666;1498666;1498667;1498684;1498688;1498764;1498764;1498764;1498764;1498765;1498805	1498189;1498188;1498188;1498188;1498188;1498188;1498473;1498473;1498473;1498495;1498491;1498473;1498612;1498612;1498612;1498613;1498630;1498634;1498746;1498705;1498705;1498706;1498705;1498705;1498798;1498821;1498798;1498798;1498816;1498847	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	812	500	442	620	490	161	250	329	238	928	1007	951	1200	570	575	523	522	735	423	617	529	746	691	787	564
XLOC_002635	scaffold_004	1499049	1501265	-	2217	9	7	18	13	11	8	13	6	51	48	33	41	12	15	5	13	15	9	19	14	25	17	29	19
XLOC_002636	scaffold_004	1504638	1505734	-	1097	460	424	552	487	153	169	231	221	755	883	743	896	2039	1848	1815	1706	1341	875	1029	1084	1286	1158	1243	1084
XLOC_002637	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1517070;1517070;1517180;1519260;1519353	1519093;1519093;1518151;1519491;1519487	-;-;-;-;-	2256	4	3	6	2	8	3	15	10	12	13	10	6	52	94	53	63	84	34	46	33	51	37	78	39
XLOC_002638	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1522814;1522814;1522814;1523030;1523114;1523114;1523114;1523116;1523342;1523342;1523344;1523356	1523060;1523062;1523060;1523060;1523288;1523286;1523300;1523286;1523416;1523606;1523562;1523562	-;-;-;-;-;-;-;-;-;-;-;-	701	869	600	890	676	128	206	297	208	1073	1065	1098	1406	1147	1038	955	786	558	554	432	551	596	588	479	508
XLOC_002639	scaffold_004	1525678	1527375	-	1698	404	405	535	397	207	242	355	265	808	937	812	968	1048	1154	897	914	1490	1086	1229	1193	782	746	844	740
XLOC_002640	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1534412;1534412;1534412;1534412;1534412;1534928;1534928;1534928;1534928;1535484;1535484;1535484;1535484;1535484;1535747;1536451;1536451;1536453;1536484;1536484;1536713;1536713;1536713;1536713;1536714	1534864;1534864;1534864;1534864;1535430;1535430;1535430;1535430;1535430;1536398;1536400;1536398;1535553;1536425;1536425;1536654;1536655;1536654;1536654;1536654;1536780;1536952;1536940;1536952;1536952	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2406	182	171	275	198	102	169	166	123	608	491	581	818	246	309	216	295	449	525	465	503	258	245	321	237
XLOC_002641	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1539302;1539302;1539415;1539556;1539556;1539556;1540336;1540336;1540340;1540604;1540604;1540606;1541129;1541129;1541129;1541483;1541582;1541582;1541582;1541600;1542920;1543236;1543236	1539502;1539502;1539502;1540289;1540285;1540285;1540531;1540533;1540531;1540842;1540842;1540842;1541475;1541475;1541475;1541493;1541731;1541800;1541731;1543174;1543174;1543699;1543428	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3787	4043	3749	6601	4353	1168	1467	1867	1110	12419	13937	12584	16433	17222	16979	16256	15270	8560	6619	8294	7552	16638	16821	17390	21818
XLOC_002642	scaffold_004;scaffold_004	1544314;1544568	1544507;1546192	-;-	1819	1171	712	1279	676	388	547	734	731	2078	2024	1981	2953	477	832	603	848	1605	820	1403	953	1356	1601	1376	1163
XLOC_002643	scaffold_004;scaffold_004	1549458;1550316	1550261;1552031	-;-	2520	314	235	381	273	121	187	247	206	704	722	810	997	237	377	246	373	649	468	620	506	346	308	383	309
XLOC_002644	scaffold_004	1552402	1554988	-	2587	94	92	109	102	31	42	66	43	228	212	173	236	188	220	206	179	265	209	244	219	229	269	263	193
XLOC_002645	scaffold_004;scaffold_004;scaffold_004;scaffold_004	1556256;1556652;1557459;1558334	1556510;1557405;1558285;1558750	-;-;-;-	2253	255	265	362	341	131	141	210	136	820	686	654	820	1229	1150	1233	957	1043	1397	992	1346	814	802	825	1083
XLOC_002646	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1559101;1559179;1559412;1559412;1560970;1560996	1559357;1559357;1560860;1560834;1561032;1561210	-;-;-;-;-;-	1947	261	237	378	256	125	174	200	217	571	594	552	693	552	475	450	452	774	803	751	744	332	336	356	367
XLOC_002647	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1561801;1561801;1562640;1562640;1563193;1564084;1564084	1562593;1562593;1563108;1564028;1564028;1564334;1564334	-;-;-;-;-;-;-	2433	641	668	1004	723	327	538	665	554	1707	1597	1490	1958	2119	1868	1859	1852	2464	2542	2227	2232	1584	1728	1820	1587
XLOC_002648	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1565317;1565720;1567367;1568585;1569077	1565667;1567318;1568539;1569025;1569928	-;-;-;-;-	4416	581	646	906	810	416	517	682	457	1846	1461	1529	1565	9764	8122	8041	7136	6013	6844	5650	6155	6738	5508	5951	6028
XLOC_002649	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1570518;1570518;1570518;1570650;1571035;1571035;1571035;1571035;1571748;1571748;1571748;1571748;1571966;1571966;1571966;1571966;1572158;1572231;1572503;1572802;1572802;1573201;1573493;1573500	1570982;1570982;1570982;1570982;1571686;1571686;1571686;1571686;1571898;1571898;1571898;1571895;1572089;1572112;1572039;1572051;1572752;1572348;1572752;1573444;1573148;1573437;1574083;1573817	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3244	4462	5167	6251	5576	2665	3925	4215	3205	10600	11384	10037	10794	23053	23732	21487	23581	21627	23274	20065	25198	17242	18768	21006	16107
XLOC_002650	scaffold_004;scaffold_004	1575729;1577342	1577289;1577478	-;-	1698	310	248	364	291	95	157	192	150	692	662	660	735	137	202	150	178	417	266	400	257	242	301	265	221
XLOC_002651	scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004;scaffold_004	1579470;1579581;1580880;1580880;1581503;1582049;1582049;1582625;1582809;1583333;1583337;1583337	1580821;1580821;1581294;1581997;1581997;1582211;1583194;1583189;1583194;1583392;1583392;1583525	-;-;-;-;-;-;-;-;-;-;-;-	3809	17523	16103	24326	17739	8032	11096	13634	11059	34244	32873	33518	40292	40607	39888	39664	38673	40879	39277	37616	46369	36813	47474	38218	39139
XLOC_002652	scaffold_004;scaffold_004	1589691;1589947	1589855;1590243	-;-	462	15	22	18	14	7	6	9	8	44	38	33	48	42	42	34	43	26	19	21	19	25	31	27	29
XLOC_002653	scaffold_005;scaffold_005	7138;7683	7613;8160	+;+	954	4	3	7	4	0	2	4	6	6	9	6	11	7	6	9	2	5	8	6	5	6	12	15	5
XLOC_002654	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	8457;9111;9478;9478;9930;9930	9389;9389;9879;9879;10019;11186	+;+;+;+;+;+	2592	143	195	176	191	67	82	72	41	233	512	387	332	662	382	503	282	186	202	172	221	286	410	304	294
XLOC_002655	scaffold_005;scaffold_005;scaffold_005	16053;16188;16652	16128;16512;18401	+;+;+	2151	9	10	4	15	7	36	3	18	2	3	0	3	9	6	4	1	0	3	6	1	6	1	3	2
XLOC_002656	scaffold_005;scaffold_005	20889;21630	21581;22123	+;+	1187	128	145	211	140	45	55	87	57	260	244	258	397	256	302	253	248	525	390	433	395	261	318	247	287
XLOC_002657	scaffold_005	24110	25192	+	1083	365	304	467	398	115	131	183	106	673	704	757	971	235	178	189	155	191	132	174	123	107	143	380	127
XLOC_002658	scaffold_005;scaffold_005;scaffold_005	26160;26700;26944	26469;26885;27884	+;+;+	1437	958	770	1091	868	250	385	506	336	1578	1625	1837	2273	407	315	357	294	252	237	227	221	277	395	496	320
XLOC_002659	scaffold_005	35116	35795	+	680	1	0	0	1	3	0	2	0	0	4	0	0	6	7	7	12	6	18	10	12	2	3	4	3
XLOC_002660	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	38901;39118;39605;39605;41675;41675;42465;42614;42614;44353;44353	39554;39554;41627;41627;42558;42145;42558;44283;44283;44490;44683	+;+;+;+;+;+;+;+;+;+;+	5562	1780	1747	2606	2061	792	968	1071	685	4692	3968	3534	4227	1534	2497	1706	2116	4989	2825	4884	3100	3567	4110	3718	2773
XLOC_002661	scaffold_005	49133	51181	+	2049	24	34	34	28	42	39	33	29	65	61	50	59	72	82	64	41	25	24	30	34	63	33	69	37
XLOC_002662	scaffold_005	54924	56708	+	1785	686	445	683	420	225	353	421	403	1002	1108	1013	1455	115	177	122	147	438	204	368	209	301	342	272	204
XLOC_002663	scaffold_005;scaffold_005	57238;57670	60832;59616	+;+	3595	71	51	65	50	99	113	154	146	68	102	71	110	65	87	70	68	39	59	27	31	16	9	12	18
XLOC_002664	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	61036;61145;61174;61301;61301;61301;61753;61753;61753;61955;61955;61977;63232	61241;61241;61241;61699;61699;61699;61926;61904;61904;62335;62432;62002;63239	+;+;+;+;+;+;+;+;+;+;+;+;+	1265	2328	1784	3656	1857	927	834	1375	1880	3839	3829	5108	6218	8479	3882	7469	4067	1376	2518	1505	2848	5097	6943	2650	5839
XLOC_002665	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	64818;64822;64907;64907;65162;65162;65335;65335	64854;64854;65110;65110;65242;65241;65937;65937	+;+;+;+;+;+;+;+	925	56	54	79	61	25	35	57	49	115	128	133	149	98	102	97	76	127	84	95	108	116	156	82	139
XLOC_002666	scaffold_005;scaffold_005;scaffold_005	67313;67425;68239	67372;68184;68280	+;+;+	862	423	365	563	378	124	194	238	223	826	769	740	1027	765	933	740	674	1124	1071	1067	1119	1151	1233	985	987
XLOC_002667	scaffold_005	68548	69576	+	1029	12	1	5	4	1	2	4	1	14	12	9	13	5	6	4	6	6	4	6	14	7	13	10	3
XLOC_002668	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	72666;72666;73366;73661;73661;73661;73845;73845;73845;74296;74296;74296;74408;74408;74414;75862;75862;75862;78115;78436;78436;78436;79517;79517;79517;81172;81547;81547;81547;81989;81989;81989;82601;82601;82601	73605;73605;73605;73794;73794;73794;74246;74246;74246;74362;74362;74362;75812;75812;75812;77518;78377;78377;78377;79387;79387;79387;80392;81406;81406;81406;81938;81938;81938;82552;82552;82552;83989;84330;84330	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10992	3549	3206	4858	3493	1529	1958	2284	1827	7675	6870	6702	8568	6647	9749	6745	9894	10430	8750	9477	9464	9357	10736	8303	8469
XLOC_002669	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	89016;89016;89038;89070;89126;89358;89358;89358;89358;89358;89665;89665;89665;90618;90618;90618;90618;90618;90936;90936;90936;91046;91046;91046;91165;91165;91350;91350;91350;91350;91350	89209;89209;89209;89209;89209;90571;89448;90571;89448;89448;90571;90571;90571;90882;90881;90882;90882;90881;90966;90966;90966;91208;91208;91208;91208;91208;92043;92714;92714;92714;92714	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3232	99	91	144	120	72	72	110	50	282	273	267	321	210	477	209	486	881	503	810	419	552	356	559	238
XLOC_002670	scaffold_005;scaffold_005;scaffold_005	94313;95565;95981	95514;95931;98266	+;+;+	3855	32	48	47	43	58	53	62	56	102	236	84	78	2001	2143	1749	1532	1051	2065	935	1789	2370	2372	1877	1948
XLOC_002671	scaffold_005	98695	99360	+	666	10	9	19	9	1	3	1	4	14	21	7	7	26	27	15	20	111	87	101	94	35	39	52	28
XLOC_002672	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	100992;101024;101513;101640;101640;101640;104375;104375;104375;104574	101573;101548;101573;104320;104320;104320;104690;104518;104506;104690	+;+;+;+;+;+;+;+;+;+	3579	311	268	453	248	152	231	255	198	715	1329	956	1030	11040	10688	13133	11231	8806	15948	6689	14695	15271	15602	5869	18688
XLOC_002673	scaffold_005;scaffold_005	109963;110114	110056;110439	+;+	420	1	0	4	0	1	0	4	2	6	3	4	3	7	16	6	12	7	26	14	18	6	18	14	4
XLOC_002674	scaffold_005	112412	114275	+	1864	15	20	26	20	13	18	24	10	45	32	27	56	81	115	69	67	74	60	52	51	82	58	90	62
XLOC_002675	scaffold_005	114383	114970	+	588	1	0	7	0	0	0	0	0	1	1	1	0	2	3	1	0	4	1	0	3	2	2	2	0
XLOC_002676	scaffold_005;scaffold_005	115511;115627	115571;116060	+;+	495	2	1	0	4	0	0	0	0	3	1	0	1	2	1	1	2	1	1	1	2	1	1	0	1
XLOC_002677	scaffold_005;scaffold_005	116624;117751	117691;117927	+;+	1245	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	0
XLOC_002678	scaffold_005	122884	124158	+	1275	0	0	0	1	0	0	0	0	0	1	2	0	1	1	1	1	0	2	0	1	2	2	5	1
XLOC_002679	scaffold_005	124436	126484	+	2049	0	2	2	1	0	8	8	0	7	13	15	16	42	51	50	41	225	196	225	158	78	87	86	99
XLOC_002680	scaffold_005	126811	127881	+	1071	1	1	2	0	3	0	1	2	1	5	3	4	8	4	7	7	30	29	21	18	14	10	14	13
XLOC_002681	scaffold_005;scaffold_005	131717;132167	132113;132442	+;+	673	311	391	473	389	137	186	224	198	828	756	743	984	1203	2312	1356	2295	1326	765	1057	1002	1272	1684	1324	1028
XLOC_002682	scaffold_005	135568	136162	+	595	0	2	1	4	0	3	0	0	4	3	0	6	0	0	0	1	2	0	0	7	3	1	2	0
XLOC_002683	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	136462;136726;137151;137151;137311;137311;137464;137467	137082;137082;137240;137240;137408;137408;138286;138991	+;+;+;+;+;+;+;+	2337	29	27	30	20	4	16	7	3	56	73	58	41	26	51	43	50	140	145	112	128	61	85	60	63
XLOC_002684	scaffold_005;scaffold_005;scaffold_005	139077;139357;141635	139304;141579;146023	+;+;+	6840	32	36	51	30	18	17	52	23	72	68	61	89	117	94	136	107	138	189	114	138	75	123	55	89
XLOC_002685	scaffold_005	153990	154355	+	366	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
XLOC_002686	scaffold_005;scaffold_005;scaffold_005	154825;155407;155601	155354;155549;155746	+;+;+	819	0	0	0	0	0	0	0	0	0	0	0	0	4	7	4	6	10	9	12	12	4	3	4	5
XLOC_002687	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	160939;161153;161393;161807;161807;161807;161927;161927;161927;162446;162446;162446;164608;164845;164845;164845	161759;161759;161759;161894;161876;161894;162397;162397;162397;164798;163860;164798;164798;166957;167004;167004	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5893	261	258	372	270	171	218	341	275	674	615	679	723	558	651	499	476	575	823	536	713	305	309	311	314
XLOC_002688	scaffold_005	169808	171210	+	1403	205	151	266	197	104	156	165	114	421	436	425	624	241	418	244	304	292	321	258	292	288	213	365	295
XLOC_002689	scaffold_005;scaffold_005;scaffold_005	171874;172187;172407	172135;172357;173820	+;+;+	1847	3	19	13	14	11	14	16	13	25	20	4	18	24	53	25	118	33	19	26	27	20	31	19	33
XLOC_002690	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	175986;176006;176201;176201;177499;177563;177563;177735;177735;177735;177735;177928;177928;177928;178008;178008;178008;178008;178269;178394;178394;178394;179682;179682;179682	176153;176045;176818;177673;177673;177673;177673;177875;177875;177879;177875;177951;177951;177951;178076;178076;178328;178328;178328;179630;179630;179630;180743;180990;180990	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4677	218	189	281	211	59	144	115	98	531	535	555	699	543	603	488	480	577	563	553	592	497	658	505	516
XLOC_002691	scaffold_005;scaffold_005	181658;182177	182121;182360	+;+	648	0	0	0	0	0	0	0	0	1	0	0	0	3	4	2	1	0	2	1	0	1	4	1	0
XLOC_002692	scaffold_005;scaffold_005	187370;187714	187664;192462	+;+	5044	254	272	336	262	193	226	308	216	773	648	766	933	647	780	674	1200	922	1095	847	926	481	535	463	535
XLOC_002693	scaffold_005	194759	195652	+	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_002694	scaffold_005;scaffold_005	203958;203958	204493;204493	+;+	536	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
XLOC_002695	scaffold_005;scaffold_005;scaffold_005	205807;206178;209422	210399;208363;210399	+;+;+	4593	178	137	171	158	141	158	277	156	315	246	222	279	127	174	96	85	128	108	107	134	78	85	134	96
XLOC_002696	scaffold_005;scaffold_005;scaffold_005;scaffold_005	225482;225588;225892;227742	225537;225846;227688;228002	+;+;+;+	2373	327	331	475	396	130	165	240	162	1014	803	731	861	1798	1675	1750	1374	2171	1937	1927	2191	1632	1801	1767	1722
XLOC_002697	scaffold_005;scaffold_005;scaffold_005	229784;229989;230415	229937;230364;232456	+;+;+	2572	32	25	50	32	22	22	18	8	67	115	84	77	90	81	69	34	39	30	37	42	66	81	73	102
XLOC_002698	scaffold_005	234489	235202	+	714	2	2	7	2	4	7	14	7	13	7	13	23	57	68	50	49	37	66	48	70	37	37	31	35
XLOC_002699	scaffold_005;scaffold_005	239449;239598	239541;240482	+;+	978	274	146	250	176	100	145	185	125	397	445	450	587	61	106	53	85	217	135	197	146	168	190	164	120
XLOC_002700	scaffold_005;scaffold_005	241736;242053	242001;243179	+;+	1393	279	316	461	380	109	150	191	126	844	816	732	866	1049	1271	1064	1131	1623	1263	1533	1278	1344	1393	1582	1267
XLOC_002701	scaffold_005	248459	249669	+	1211	5	9	6	20	2	8	2	0	12	17	14	16	18	12	13	7	14	9	7	9	9	8	9	10
XLOC_002702	scaffold_005;scaffold_005;scaffold_005	250760;251913;253256	251851;253205;253819	+;+;+	2949	175	127	184	103	166	110	112	210	340	350	323	456	178	229	149	167	204	124	157	141	109	67	151	60
XLOC_002703	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	254050;254551;254883;254883;256036;256703;257149;257149	254738;254738;255364;257096;256541;257096;257849;257952	+;+;+;+;+;+;+;+	3707	766	841	1134	884	435	474	622	482	2018	2238	2226	3119	509	656	452	527	1030	762	895	816	728	861	791	615
XLOC_002704	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	261430;261498;261890;261890;262700;262700	261665;261665;262646;262143;263251;263064	+;+;+;+;+;+	1545	56	58	103	25	25	16	36	18	117	93	75	141	74	78	56	51	122	92	85	109	70	62	83	65
XLOC_002705	scaffold_005;scaffold_005	271714;276000	275951;277738	+;+	5977	453	411	563	414	294	350	476	282	1598	1255	1290	1469	1312	1816	1328	1930	2427	2552	2097	2121	1461	1386	1647	1140
XLOC_002706	scaffold_005;scaffold_005	281965;282176	282126;284584	+;+	2571	352	437	530	500	116	164	184	99	876	1113	913	935	713	701	563	543	1371	600	1285	703	762	745	725	707
XLOC_002707	scaffold_005;scaffold_005;scaffold_005;scaffold_005	284859;284949;285107;285107	285051;285051;287022;286419	+;+;+;+	2109	596	323	654	333	141	243	291	330	937	854	1035	1397	165	232	173	195	399	197	382	266	403	548	316	348
XLOC_002708	scaffold_005	290649	291918	+	1270	138	113	157	119	8	9	15	7	60	65	94	61	1	7	2	4	10	10	17	5	0	1	0	2
XLOC_002709	scaffold_005;scaffold_005	293360;293789	293741;294143	+;+	737	331	397	397	335	110	70	116	78	712	865	770	689	121	114	106	79	90	72	68	100	117	177	72	123
XLOC_002710	scaffold_005;scaffold_005	295223;295323	295271;296329	+;+	1056	91	88	119	93	56	51	69	34	213	333	262	244	118	187	112	124	174	100	148	95	120	149	100	125
XLOC_002711	scaffold_005;scaffold_005;scaffold_005	299157;299587;300615	299536;300562;301696	+;+;+	2438	83	79	134	71	10	15	11	18	150	143	136	189	207	132	140	60	59	89	62	98	66	51	50	82
XLOC_002712	scaffold_005	308520	309248	+	729	3	2	5	4	89	67	92	87	3	16	7	1	18	19	7	26	68	42	35	25	13	14	16	12
XLOC_002713	scaffold_005;scaffold_005	314774;315079	315044;315113	+;+	306	3	5	1	0	0	2	0	0	0	3	2	2	2	0	0	1	1	0	1	1	0	2	4	1
XLOC_002714	scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005;scaffold_005	315658;316454;316690;316690;319156;319376;319376	316620;316620;318611;319247;319247;320580;320767	+;+;+;+;+;+;+	4913	2490	2529	3930	2894	857	1127	1445	1047	6583	5909	6386	7577	23411	32315	24279	13927	10187	6109	6821	7831	20580	11693	19135	53869
